height,timestamp,open,high,low,close
779696,1678175849,22425.35,22426.05,22425.27,22425.75
779697,1678175880,22425.35,22426.05,22425.27,22425.75
779698,1678176214,22417.68,22417.68,22415.09,22415.3
779699,1678176563,22404.0,22404.0,22398.94,22399.71
779700,1678176650,22399.71,22404.63,22397.28,22403.47
779701,1678176882,22403.58,22404.44,22400.95,22401.19
779702,1678177589,22415.38,22415.4,22408.21,22408.27
779703,1678177812,22411.88,22414.9,22411.62,22412.47
779704,1678177920,22412.47,22414.29,22412.08,22413.39
779705,1678178678,22407.04,22413.2,22406.69,22412.47
779706,1678178711,22412.47,22412.62,22409.75,22411.51
779707,1678179576,22423.56,22424.01,22419.72,22420.25
779708,1678179808,22418.39,22419.64,22418.39,22419.55
779709,1678180452,22412.6,22412.6,22410.14,22410.69
779710,1678180675,22409.9,22410.18,22406.91,22407.38
779711,1678180806,22397.32,22403.23,22396.39,22397.8
779712,1678181554,22389.45,22390.38,22387.62,22387.87
779713,1678182258,22366.82,22370.05,22364.12,22364.62
779714,1678182643,22388.26,22389.26,22383.64,22387.83
779715,1678182748,22388.42,22388.89,22385.43,22387.34
779716,1678183099,22377.08,22382.14,22376.6,22380.95
779717,1678183458,22383.83,22384.15,22382.86,22383.74
779718,1678184934,22413.28,22415.57,22413.24,22414.39
779719,1678185795,22401.29,22402.77,22399.07,22399.42
779720,1678185982,22393.65,22393.65,22389.69,22389.69
779721,1678186141,22392.2,22401.19,22392.2,22393.86
779722,1678186437,22387.19,22387.26,22382.67,22387.08
779723,1678187959,22380.73,22381.74,22378.06,22378.71
779724,1678189105,22389.25,22389.61,22384.99,22388.57
779725,1678189365,22374.36,22376.95,22374.36,22375.23
779726,1678189478,22376.68,22378.38,22375.86,22377.78
779727,1678190609,22348.43,22356.58,22346.44,22356.58
779728,1678190741,22354.18,22356.43,22353.09,22356.05
779729,1678191520,22373.96,22374.97,22370.71,22374.43
779730,1678192719,22366.3,22367.55,22365.99,22367.08
779731,1678193169,22383.04,22383.58,22380.35,22382.82
779732,1678193334,22379.18,22382.21,22378.09,22378.56
779733,1678193634,22392.11,22402.06,22392.11,22401.17
779734,1678194002,22398.25,22399.81,22392.08,22394.37
779735,1678194119,22394.37,22398.03,22393.96,22397.63
779736,1678194194,22395.87,22397.53,22394.97,22395.14
779737,1678194513,22395.36,22396.07,22394.84,22395.37
779738,1678196829,22386.54,22388.27,22385.2,22385.2
779739,1678197288,22381.31,22385.61,22380.73,22381.26
779740,1678197444,22377.0,22380.31,22369.71,22369.71
779741,1678197668,22354.8,22355.27,22340.65,22343.34
779742,1678197737,22343.34,22343.79,22338.43,22342.63
779743,1678197858,22343.6,22345.44,22342.11,22345.31
779744,1678198154,22354.23,22354.28,22343.71,22353.0
779745,1678199253,22329.85,22336.65,22329.85,22333.17
779746,1678199713,22317.04,22347.19,22302.64,22347.19
779747,1678200057,22333.42,22333.42,22310.83,22313.42
779748,1678200356,22304.87,22323.8,22301.58,22323.08
779749,1678201250,22315.92,22316.31,22180.82,22180.82
779750,1678201285,22180.82,22180.82,22105.57,22164.19
779751,1678201388,22173.41,22184.28,22145.58,22152.0
779752,1678201871,22043.67,22043.67,21982.96,22040.93
779753,1678201896,22043.67,22043.67,21982.96,22040.93
779754,1678202194,22014.43,22064.7,22013.76,22064.7
779755,1678202622,22242.29,22368.03,22219.73,22356.45
779756,1678203665,22380.31,22380.31,22329.91,22347.55
779757,1678204452,22317.9,22335.0,22301.97,22333.38
779758,1678204549,22333.38,22358.0,22328.51,22328.51
779759,1678205214,22365.15,22375.05,22355.99,22375.03
779760,1678206644,22232.93,22260.95,22232.93,22248.3
779761,1678207811,22297.96,22305.91,22296.71,22305.91
779762,1678208399,22228.24,22237.87,22228.24,22234.39
779763,1678209190,22267.48,22267.48,22258.33,22260.06
779764,1678210070,22339.64,22353.22,22339.16,22349.1
779765,1678210638,22332.82,22332.82,22327.59,22328.67
779766,1678211167,22326.35,22326.73,22317.54,22323.3
779767,1678211676,22318.85,22321.58,22310.93,22311.15
779768,1678211917,22314.08,22316.04,22309.52,22310.12
779769,1678212181,22321.76,22327.18,22317.97,22318.32
779770,1678212390,22297.89,22299.76,22296.22,22296.71
779771,1678212456,22296.71,22296.98,22288.8,22288.8
779772,1678212698,22282.54,22283.65,22278.39,22281.18
779773,1678212779,22281.18,22281.38,22277.3,22279.99
779774,1678214655,22218.65,22218.65,22210.62,22211.28
779775,1678214746,22211.28,22219.09,22211.03,22219.09
779776,1678215531,22186.04,22203.45,22185.2,22201.86
779777,1678216390,22217.64,22240.15,22217.64,22240.15
779778,1678216496,22240.15,22241.16,22229.51,22229.85
779779,1678217852,22206.82,22215.15,22206.73,22213.45
779780,1678218950,22210.21,22210.36,22200.05,22200.26
779781,1678219312,22126.83,22136.34,22098.99,22098.99
779782,1678219379,22098.99,22109.73,22088.82,22090.53
779783,1678219549,22058.2,22083.0,22054.54,22077.57
779784,1678220298,22085.56,22091.05,22081.03,22089.88
779785,1678220353,22089.88,22098.56,22088.32,22096.9
779786,1678221984,22105.0,22105.2,22077.71,22083.96
779787,1678222089,22080.48,22080.48,22068.35,22071.16
779788,1678222354,22063.34,22063.55,22051.5,22053.16
779789,1678223251,22053.27,22053.63,22051.64,22053.63
779790,1678224315,21971.13,21983.5,21971.13,21982.72
779791,1678224337,21971.13,21983.5,21971.13,21982.72
779792,1678224664,22025.89,22050.74,22025.89,22050.74
779793,1678225281,22079.7,22087.5,22073.85,22087.5
779794,1678226569,22058.51,22062.0,22056.17,22059.05
779795,1678226605,22059.05,22059.77,22054.54,22056.98
779796,1678226644,22056.98,22056.98,22034.47,22037.84
779797,1678226788,22013.63,22017.49,22000.51,22017.44
779798,1678228836,22096.04,22102.54,22095.89,22102.28
779799,1678229025,22105.5,22112.29,22105.08,22105.72
779800,1678229228,22102.43,22105.4,22102.08,22104.76
779801,1678229654,22081.69,22092.52,22081.46,22092.52
779802,1678229676,22081.69,22092.52,22081.46,22092.52
779803,1678230089,22090.13,22092.13,22080.3,22080.52
779804,1678230592,22091.77,22092.71,22091.46,22092.64
779805,1678232530,22193.39,22198.65,22192.13,22193.75
779806,1678233343,22188.66,22191.91,22188.28,22190.82
779807,1678233493,22191.08,22196.3,22190.71,22194.12
779808,1678233992,22243.23,22250.1,22230.76,22248.98
779809,1678234924,22250.05,22259.27,22246.8,22246.87
779810,1678236741,22222.56,22228.88,22222.56,22228.02
779811,1678236859,22229.25,22229.68,22224.69,22227.02
779812,1678237348,22237.24,22239.02,22229.51,22229.86
779813,1678239115,22221.0,22228.17,22221.0,22227.59
779814,1678239582,22232.17,22234.67,22223.79,22223.83
779815,1678240700,22167.2,22169.07,22163.74,22167.8
779816,1678241599,22191.94,22192.33,22188.56,22189.06
779817,1678244102,22170.01,22171.11,22167.3,22170.69
779818,1678244187,22170.69,22173.71,22170.54,22173.14
779819,1678244319,22174.56,22175.13,22172.15,22172.15
779820,1678244456,22171.55,22171.69,22169.16,22169.56
779821,1678244975,22176.76,22179.35,22176.66,22179.17
779822,1678245200,22169.15,22169.18,22159.47,22159.78
779823,1678245759,22121.05,22121.05,22093.87,22098.53
779824,1678246321,22097.5,22107.67,22097.43,22102.71
