height,timestamp,open,high,low,close
778983,1677764129,23354.56,23366.26,23350.1,23353.9
778984,1677767080,23272.41,23292.59,23271.98,23291.65
778985,1677768723,23325.2,23331.69,23323.73,23326.91
778986,1677768820,23326.91,23335.84,23322.24,23323.03
778987,1677769592,23349.15,23358.4,23333.23,23333.3
778988,1677771434,23369.78,23372.53,23361.18,23361.18
778989,1677772174,23329.17,23329.17,23321.68,23323.67
778990,1677774257,23373.24,23374.12,23357.32,23357.32
778991,1677774279,23373.24,23374.12,23357.32,23357.32
778992,1677775043,23304.52,23304.82,23285.56,23286.11
778993,1677775116,23286.11,23286.11,23276.96,23284.94
778994,1677775433,23288.24,23292.71,23284.02,23292.23
778995,1677776157,23269.25,23273.31,23265.43,23273.31
778996,1677776267,23272.34,23282.26,23272.34,23275.97
778997,1677777386,23259.91,23263.91,23259.86,23259.99
778998,1677777534,23255.6,23256.36,23239.13,23240.3
778999,1677777606,23239.3,23248.63,23238.7,23244.59
779000,1677777962,23282.99,23288.8,23282.38,23288.8
779001,1677778821,23271.65,23271.78,23257.45,23261.92
779002,1677780178,23275.2,23278.0,23268.54,23269.2
779003,1677781183,23294.7,23296.75,23290.54,23292.54
779004,1677781230,23292.54,23305.72,23292.38,23304.4
779005,1677781379,23306.37,23309.37,23306.16,23308.02
779006,1677781491,23307.88,23309.35,23300.7,23300.7
779007,1677782313,23403.59,23404.57,23378.9,23381.29
779008,1677782419,23403.13,23413.35,23398.73,23398.73
779009,1677784147,23477.27,23480.68,23463.44,23464.01
779010,1677785030,23440.94,23451.34,23440.44,23443.51
779011,1677788329,23478.14,23488.17,23464.84,23466.31
779012,1677788429,23467.0,23467.36,23461.9,23464.22
779013,1677788460,23467.0,23467.36,23461.9,23464.22
779014,1677790031,23550.88,23561.43,23542.48,23550.81
779015,1677790636,23466.58,23468.28,23454.78,23456.66
779016,1677790999,23456.81,23467.83,23456.56,23467.43
779017,1677791104,23448.7,23448.7,23434.82,23435.7
779018,1677791961,23464.42,23470.53,23454.83,23455.51
779019,1677792653,23455.54,23455.54,23445.41,23445.41
779020,1677793425,23427.22,23427.7,23415.35,23418.65
779021,1677793638,23428.89,23430.86,23428.07,23430.45
779022,1677793809,23437.47,23445.63,23437.47,23443.27
779023,1677794177,23425.93,23426.87,23420.64,23426.72
779024,1677794653,23429.98,23431.34,23426.97,23431.34
779025,1677794899,23431.64,23437.99,23431.64,23437.99
779026,1677795637,23457.85,23469.85,23457.36,23469.85
779027,1677796093,23524.32,23535.3,23524.32,23534.2
779028,1677796473,23518.85,23521.15,23495.93,23504.73
779029,1677797008,23503.04,23507.07,23501.45,23503.23
779030,1677798388,23474.11,23476.08,23473.84,23474.13
779031,1677798710,23475.47,23479.16,23475.14,23477.61
779032,1677800035,23456.7,23456.83,23455.31,23455.5
779033,1677800579,23485.13,23485.35,23477.22,23485.16
779034,1677800966,23459.23,23462.76,23458.15,23461.84
779035,1677801224,23476.64,23477.81,23468.48,23468.48
779036,1677801705,23470.26,23471.22,23468.24,23470.4
779037,1677802888,23450.05,23450.63,23439.02,23439.06
779038,1677803063,23445.22,23445.33,23443.93,23444.43
779039,1677803739,23456.11,23461.16,23453.95,23456.83
779040,1677804044,23412.79,23418.29,23408.09,23418.29
779041,1677804151,23414.84,23416.12,23411.08,23412.69
779042,1677804175,23414.84,23416.12,23411.08,23412.69
779043,1677804509,23432.73,23440.64,23432.52,23437.01
779044,1677804541,23437.01,23437.16,23429.49,23429.51
779045,1677805522,23422.45,23422.57,23416.42,23416.42
779046,1677806179,23417.73,23418.99,23413.33,23413.33
779047,1677806528,23083.77,23092.8,22884.71,22954.03
779048,1677806851,22960.43,22981.21,22929.67,22954.83
779049,1677806901,22954.83,22956.05,22874.32,22874.32
779050,1677807840,22299.9,22377.65,22299.9,22339.49
779051,1677807951,22343.95,22383.11,22342.96,22374.03
779052,1677808549,22345.82,22345.82,22308.79,22330.97
779053,1677809962,22320.19,22349.55,22319.84,22349.55
779054,1677810181,22372.88,22382.52,22365.94,22368.91
779055,1677811097,22360.3,22380.14,22358.75,22372.96
779056,1677811356,22361.45,22361.45,22341.94,22349.24
779057,1677811838,22344.44,22347.38,22335.63,22341.11
779058,1677811896,22341.11,22357.78,22341.11,22347.34
779059,1677812020,22342.6,22374.26,22340.23,22374.26
779060,1677812569,22350.5,22350.5,22331.09,22336.25
779061,1677812952,22336.82,22351.38,22320.17,22341.77
779062,1677814128,22398.56,22406.69,22395.92,22400.0
779063,1677814575,22371.56,22372.25,22365.08,22365.5
779064,1677814780,22364.39,22364.73,22359.29,22361.13
779065,1677815264,22359.5,22368.42,22358.96,22367.63
779066,1677815960,22334.98,22344.67,22329.05,22329.05
779067,1677816245,22288.3,22294.0,22287.12,22293.97
779068,1677816657,22344.25,22347.3,22341.01,22344.93
779069,1677816997,22343.87,22348.62,22343.71,22348.26
779070,1677817900,22364.84,22366.19,22362.48,22364.58
779071,1677818161,22351.13,22358.36,22341.06,22342.95
779072,1677819138,22359.82,22366.21,22359.36,22365.2
779073,1677819641,22388.03,22394.17,22387.92,22391.63
779074,1677820340,22384.57,22387.74,22375.22,22375.83
779075,1677821581,22361.15,22362.53,22360.91,22361.99
779076,1677821648,22361.99,22366.68,22359.63,22359.63
779077,1677823144,22356.21,22356.21,22352.29,22352.63
779078,1677823553,22378.22,22380.53,22368.81,22368.81
779079,1677823796,22357.62,22357.62,22353.56,22356.62
779080,1677825306,22401.67,22402.93,22394.4,22394.89
779081,1677825749,22382.43,22385.16,22382.43,22383.71
779082,1677826165,22388.35,22391.38,22387.17,22388.32
779083,1677826497,22390.03,22390.11,22386.13,22387.25
779084,1677826772,22391.14,22391.28,22384.82,22385.41
779085,1677826881,22380.46,22381.18,22363.37,22368.44
779086,1677827178,22366.04,22366.04,22352.65,22358.46
779087,1677827972,22373.1,22374.09,22365.4,22366.18
779088,1677828190,22359.68,22361.78,22357.81,22357.81
779089,1677829416,22391.83,22397.19,22390.91,22396.59
779090,1677829436,22391.83,22397.19,22390.91,22396.59
779091,1677829960,22383.2,22383.56,22377.24,22380.8
779092,1677831727,22387.8,22387.8,22383.28,22383.51
779093,1677832394,22400.09,22400.09,22387.45,22391.23
779094,1677832411,22400.09,22400.09,22387.45,22391.23
779095,1677834466,22432.0,22433.76,22425.95,22425.95
779096,1677835065,22421.1,22425.38,22416.89,22417.03
779097,1677835528,22401.44,22401.59,22386.27,22388.74
779098,1677835586,22388.74,22392.61,22385.31,22385.31
779099,1677835636,22385.31,22388.62,22385.31,22387.34
779100,1677835775,22386.31,22400.57,22386.31,22400.09
779101,1677836050,22390.27,22390.96,22388.82,22390.96
779102,1677837875,22378.77,22380.84,22374.46,22374.46
779103,1677838895,22391.47,22391.99,22386.47,22388.74
779104,1677839961,22385.3,22386.71,22381.42,22381.85
779105,1677840541,22371.3,22371.86,22359.52,22360.7
779106,1677840582,22371.3,22371.86,22359.52,22360.7
779107,1677841385,22365.33,22368.43,22364.59,22365.78
779108,1677841576,22360.23,22367.81,22359.03,22364.36
779109,1677841935,22335.08,22345.75,22335.08,22344.11
779110,1677843193,22345.31,22345.93,22343.6,22343.84
779111,1677843299,22343.84,22348.45,22343.71,22346.66
779112,1677843648,22367.64,22367.64,22357.95,22358.02
779113,1677844004,22352.9,22354.17,22350.77,22354.07
779114,1677844542,22359.37,22360.27,22358.77,22359.23
779115,1677844733,22357.88,22357.89,22348.28,22350.59
779116,1677844975,22362.9,22364.5,22358.8,22361.1
779117,1677845299,22362.55,22363.09,22360.31,22362.8
779118,1677846883,22339.41,22347.0,22337.55,22340.51
779119,1677847909,22352.41,22352.41,22350.6,22351.15
779120,1677850237,22375.1,22375.1,22364.24,22365.04
779121,1677850535,22350.45,22350.85,22349.82,22350.7
779122,1677850995,22338.1,22338.35,22326.32,22327.09
779123,1677851154,22327.16,22327.16,22319.94,22319.98
779124,1677851363,22353.7,22361.46,22333.14,22335.96
779125,1677852480,22419.05,22422.72,22401.07,22402.06
779126,1677852795,22401.82,22408.42,22394.4,22395.14
779127,1677854127,22398.14,22404.32,22393.92,22394.54
779128,1677855519,22394.32,22394.58,22383.09,22383.09
779129,1677855722,22339.88,22339.88,22256.41,22311.39
779130,1677855991,22282.64,22313.52,22282.64,22299.8
779131,1677856056,22299.8,22301.4,22287.87,22298.86
779132,1677857022,22370.87,22388.06,22370.87,22376.85
779133,1677858229,22341.51,22345.58,22337.98,22345.19
779134,1677858306,22355.11,22355.11,22348.59,22349.06
779135,1677858711,22345.43,22347.26,22337.33,22338.23
779136,1677858947,22323.07,22328.22,22321.56,22324.56
779137,1677859766,22364.66,22366.37,22363.1,22364.64
779138,1677860110,22329.92,22333.21,22327.62,22328.48
779139,1677860800,22347.29,22349.8,22344.58,22348.81
779140,1677861294,22349.95,22349.95,22341.49,22341.99
779141,1677861375,22342.27,22342.27,22334.71,22335.37
779142,1677861942,22347.21,22350.62,22343.67,22350.62
779143,1677861962,22350.62,22358.18,22349.2,22349.68
779144,1677862644,22358.17,22363.75,22356.85,22362.97
779145,1677862875,22387.06,22391.89,22387.01,22388.32
779146,1677863039,22393.07,22395.8,22388.82,22389.87
779147,1677863106,22395.8,22405.6,22395.58,22401.95
